metric,condition,initial_condition_set,system_dim,n_cells,value_q05,value_q10,value_q25,value_q50,value_q75,value_q90,value_q95
log10_loss,pretune_off,1,1,18,-14.3331775289,-14.3311879707,-13.6331264537,-11.1469119376,-9.03233626454,-4.97816290545,-4.72768807745
log10_loss,pretune_off,1,2,27,-14.1200652431,-13.902707156,-13.3725451823,-10.8571642722,-3.87534087205,-2.26505200816,-0.253757319327
log10_loss,pretune_off,1,3,12,-2.38048725398,-2.2794102113,0.814403884613,1.82163576531,2.1342850851,2.55273120516,2.57278977681
log10_loss,pretune_off,1,4,3,-3.20856039321,-3.19683898052,-3.16167474245,-3.10306767899,-2.96804417398,-2.88703007097,-2.86002536997
log10_loss,pretune_off,2,1,18,-13.3940401981,-13.2160913631,-13.1730140774,-9.60647725683,-3.24203910746,-3.02361578913,-3.02361578913
log10_loss,pretune_off,2,2,27,-14.2240387478,-14.1017975721,-11.0214419108,-7.42816986044,-3.47438413321,-2.7511370844,-0.644967174334
log10_loss,pretune_off,2,3,12,0.21063005856,0.264980766367,1.41043499899,1.85637465916,2.10102204704,2.59637204763,2.600555868
log10_loss,pretune_off,2,4,3,-3.33075813712,-3.33001336252,-3.32777903871,-3.3240551657,-3.27295333621,-3.24229223852,-3.23207187262
log10_loss,pretune_on,1,1,18,-14.3303005224,-14.3303005224,-13.5479384816,-10.5404934689,-7.87237057429,2.75965627074,2.75965627074
log10_loss,pretune_on,1,2,27,-14.1286801558,-13.9188669395,-11.7083887672,-6.18414661357,-3.871949414,-3.42247828811,-3.19175900098
log10_loss,pretune_on,1,3,12,-3.63203232036,-3.18073685786,0.477008116992,1.70237924124,1.97356596636,2.52520872126,2.53593243061
log10_loss,pretune_on,1,4,3,-3.20856039321,-3.19683898052,-3.16167474245,-3.10306767899,-2.96804417398,-2.88703007097,-2.86002536997
log10_loss,pretune_on,2,1,18,-13.1830661127,-13.1830661127,-12.6770680413,-9.6228503446,-3.24203910746,-3.02361578911,-3.02361578911
log10_loss,pretune_on,2,2,27,-14.1870660995,-14.0835587325,-8.50327412888,-7.56009814995,-3.29334863154,-1.22025922852,1.59327231518
log10_loss,pretune_on,2,3,12,-0.393826786186,-0.393826786186,1.1964355473,1.75417057449,1.98648255839,2.44496081125,2.48877911755
log10_loss,pretune_on,2,4,3,-3.33075813712,-3.33001336252,-3.32777903871,-3.3240551657,-3.27295333621,-3.24229223852,-3.23207187262
r2,pretune_off,1,1,18,0.999999934749,0.999999961948,0.999999999953,1,1,1,1
r2,pretune_off,1,2,27,0.905596449837,0.973590483783,0.999947379775,0.999999999989,0.999999999999,1,1
r2,pretune_off,1,3,12,0.0149303169186,0.0571172785728,0.0914007808601,0.218521806236,0.466809954991,0.993154418266,0.995171992337
r2,pretune_off,1,4,3,0.169511951795,0.202775797668,0.302567335289,0.468886564656,0.480501781874,0.487470912206,0.48979395565
r2,pretune_off,2,1,18,0.988014375392,0.988014375392,0.993263221204,0.999999999986,1,1,1
r2,pretune_off,2,2,27,0.987889868564,0.988858476711,0.99612278679,0.999999983159,0.999999999997,0.999999999999,0.999999999999
r2,pretune_off,2,3,12,0.0303823091059,0.0602466134006,0.0958871499023,0.18292021006,0.336137892654,0.756097998193,0.797649212566
r2,pretune_off,2,4,3,0.876718363339,0.879005106049,0.885865334176,0.897299047723,0.897720025591,0.897972612313,0.898056807886
r2,pretune_on,1,1,18,-0.964635760317,-0.964635760317,0.999999999498,0.999999999987,1,1,1
r2,pretune_on,1,2,27,0.997502423889,0.997929041309,0.999947244227,0.999999892914,0.999999999998,0.999999999999,1
r2,pretune_on,1,3,12,0.045300411888,0.0631248035246,0.234234443499,0.328925489022,0.562510845887,0.999357115404,0.999642614805
r2,pretune_on,1,4,3,0.169511951891,0.202775797646,0.302567334911,0.468886563686,0.480501785469,0.487470918538,0.489793962895
r2,pretune_on,2,1,18,0.988014375392,0.988014375392,0.993263221204,0.999999999989,0.999999999999,1,1
r2,pretune_on,2,2,27,0.44502852121,0.771017623082,0.990502405708,0.999999991259,0.999999995767,0.999999999999,0.999999999999
r2,pretune_on,2,3,12,0.171923469972,0.196567476306,0.242672424168,0.325486028206,0.588449892411,0.95418398716,0.95418398716
r2,pretune_on,2,4,3,0.876718358157,0.87900510142,0.885865331211,0.897299047529,0.897720024765,0.897972611106,0.898056806553
