condition,initial_condition_set,system_dim,n_cells,r2_q05,r2_q10,r2_q25,r2_q50,r2_q75,r2_q90,r2_q95,share_r2_gt_0_5,share_r2_gt_0_9,share_r2_gt_0_99,share_r2_gt_0_999
pretune_off,1,1,51,0.979371362693,0.980392655315,0.999425239077,0.999926152064,0.999992825259,0.999996027118,0.999999146629,1,1,0.882352941176,0.764705882353
pretune_off,1,2,57,0.797411608899,0.870146109349,0.955979077571,0.983686305772,0.997458850583,0.999574907861,0.999718891344,1,0.894736842105,0.456140350877,0.245614035088
pretune_off,1,3,18,0.397596861563,0.43350864627,0.527860075676,0.656539951775,0.796550095346,0.959601085319,0.967662850556,0.777777777778,0.166666666667,0,0
pretune_off,1,4,3,0.999845709394,0.999860532539,0.999905001975,0.999979117701,0.999982084842,0.999983865127,0.999984458555,1,1,1,1
pretune_off,2,1,51,0.290152286142,0.977554127018,0.996738274784,0.999575381604,0.99999419479,0.999999084187,0.999999657913,0.941176470588,0.941176470588,0.823529411765,0.647058823529
pretune_off,2,2,57,0.908521118104,0.920939579656,0.975457880662,0.986117315064,0.996405508096,0.999430864842,0.999940506906,1,0.947368421053,0.473684210526,0.210526315789
pretune_off,2,3,18,0.500390176469,0.545342940339,0.609720527115,0.688393524148,0.900549940182,0.961934040776,0.971039471891,0.944444444444,0.277777777778,0.0555555555556,0
pretune_off,2,4,3,0.881436529744,0.885790823891,0.898853706333,0.920625177069,0.954146582629,0.974259425964,0.980963707076,1,0.666666666667,0,0
pretune_on,1,1,51,0.978581652342,0.978647500242,0.999449646876,0.999926152058,0.999992925436,0.999999880083,0.999999913298,1,1,0.882352941176,0.764705882353
pretune_on,1,2,57,0.715226319294,0.757178206398,0.892741830823,0.981396424245,0.997478499641,0.999569326254,0.999673467605,1,0.701754385965,0.368421052632,0.228070175439
pretune_on,1,3,18,0.329891585704,0.331148730626,0.528381923631,0.787326053275,0.899410335046,0.945468896564,0.986823190114,0.833333333333,0.277777777778,0,0
pretune_on,1,4,3,0.999471982168,0.999484678577,0.999522767802,0.999586249845,0.99970346193,0.999773789181,0.999797231599,1,1,1,1
pretune_on,2,1,51,0.290152286142,0.977554127018,0.996738274783,0.999575381424,0.999994519791,0.999999356656,0.999999668733,0.941176470588,0.941176470588,0.823529411765,0.647058823529
pretune_on,2,2,57,0.886248059319,0.920939586324,0.965675449778,0.982457916303,0.998380932186,0.999716745442,0.999953159945,1,0.947368421053,0.473684210526,0.210526315789
pretune_on,2,3,18,0.546031678504,0.549079648028,0.599389150242,0.906384006614,0.939437494965,0.966371772724,0.967062005151,1,0.5,0,0
pretune_on,2,4,3,0.930307006915,0.932179104065,0.937795395512,0.947155881258,0.97330592234,0.988995946989,0.994225955206,1,1,0.333333333333,0.333333333333
